"","QKEY","INTERVIEW_START_W84","INTERVIEW_END_W84","DEVICE_TYPE_W84","LANG_W84","FORM_W84","XATTEND_W84","XCATHOLIC_W84","SATIS_W84","POL1JB_W84","POL1JBSTR_W84","POL1JB_4_W84","JBCONF_PUBH_W84","JBCONF_FRGN_W84","JBCONF_ECON_W84","JBCONF_CRIM_W84","JBCONF_CLSR_W84","JBCONF_RACE_W84","JBCONF_IMMI_W84","BIDENDESC_MDL_W84","BIDENDESC_ORD_W84","BIDENDESC_MENT_W84","BIDENDESC_STND_W84","BIDENDESC_HON_W84","PRESGOODTRUMP_W84","TRUMPPROG_W84","INSTFAV_a_W84","INSTFAV_b_W84","REPPTYTRAIT_a_W84","REPPTYTRAIT_f_W84","REPPTYTRAIT_b_W84","REPPTYTRAIT_g_W84","DEMPTYTRAIT_a_W84","DEMPTYTRAIT_f_W84","DEMPTYTRAIT_b_W84","DEMPTYTRAIT_g_W84","COVIDSPIR_W84","PPLFAV_a_W84","PPLFAV_b_W84","PPLFAV_c_W84","CAND_b_W84","CAND_d_W84","CAND_g_W84","BIDENRELIG_W84","HARRISRELIG_W84","BIDRELTLK_W84","JAN6LE_IMP_W84","JAN6LE_CONF_W84","JAN6PEN_A_W84","JAN6PEN_B_W84","JAN6ATTN_W84","IMPEACHACT2_W84","ATTENDMONTH_W84","ATTENDONLINE_W84","COVIDCONG2_W84","COVIDCONG3_W84","COVIDCONG4_W84","CONGRESTRICT1_a_W84","CONGRESTRICT1_b_W84","CONGRESTRICT1_c_W84","CONGRESTRICT1_d_W84","CONGRESTRICT1_e_W84","CONGRESTRICT2_a_W84","CONGRESTRICT2_b_W84","CONGRESTRICT2_c_W84","CONGRESTRICT2_d_W84","CONGRESTRICT2_e_W84","ATTENDCONF_W84","SERMONISSUE_h_W84","SERMONISSUE_i_W84","SERMONISSUE_j_W84","SERMONISSUE_k_W84","ESTR21_W84","ESTRTYP_W84","THERMTRUMP_W84","THERMBIDEN_W84","VLNTEXTR2_ISL_W84","VLNTEXTR2_CHR_W84","VLNTEXTR2_LEFT_W84","VLNTEXTR2_RGHT_W84","ECON1_W84","ECON1B_W84","COVID_ASSIST21_W84","COVIDLEG21A_W84","BIDEN_GOODFAITHC_W84","REPS_GOODFAITHC_W84","COVID_LIFEN_W84","COVID_JOBSN_W84","DISCRRIM_a_W84","DISCRRIM_b_W84","DISCRRIM_c_W84","DISCRRIM_j_W84","DISCRRIM_d_W84","DISCRRIM_e_W84","DISCRRIM_i_W84","DISCRRIM_f_W84","DISCRRIM_g_W84","DISCRRIM_h_W84","VTCHNGRULES_W84","VTEFFORT_W84","PARTY_W84","PARTYLN_W84","PARTYSTR_W84","REPPTYACC_a_W84","REPPTYACC_b_W84","REPPTYACC_c_W84","REPPTYACC_d_W84","DEMPTYACC_a_W84","DEMPTYACC_b_W84","DEMPTYACC_d_W84","COMMIF_a_W84","COMMIF_b_W84","COMMIF_c_W84","COMMIF_d_W84","BIDENCM_W84","CHRNATa_W84","CHRNATb_W84","CHRNATc_W84","CHRNATd_W84","CHRNATe_W84","CHRNATf_W84","CHRNATg_W84","RELRTHRD_W84","RELLTHRD_W84","RELRTAG_W84","RELLTAG_W84","QANON_KNOW_W84","QANON_FAV_W84","F_METRO","F_CREGION","F_CDIVISION","F_AGECAT","F_GENDER","F_EDUCCAT","F_EDUCCAT2","F_HISP","F_HISP_ORIGIN","F_YEARSINUS","F_RACECMB","F_RACETHNMOD","F_CITIZEN","F_BIRTHPLACE2","F_MARITAL","F_RELIG","F_BORN","F_RELIGCAT1","F_ATTEND","F_PARTY_FINAL","F_PARTYLN_FINAL","F_PARTYSUM_FINAL","F_PARTYSUMIDEO_FINAL","F_INC_SDT1","F_REG","F_IDEO","F_INTFREQ","F_VOLSUM","F_INC_TIER2","WEIGHT_W84","WEIGHT_W70_W84","WEIGHT_W80_W84","attend"
"1799",201501739676,2021-03-02 16:35:21,2021-03-02 16:50:13,2,1,2,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,4,NA,1,2,3,NA,4,2,1,NA,1,4,4,1,3,3,1,3,3,4,2,9,99,2,3,NA,3,1,3,1,1,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,1,75,10,NA,NA,1,2,3,2,2,NA,2,1,3,4,2,3,2,3,NA,NA,NA,2,2,2,NA,2,3,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,9,1,2,1,1,1,4,NA,NA,1,3,5,4,1,1,5,2,NA,1,1,1,1,1,1,1,1,1,2,3,1,1,1,6,1,2,2,2,2,0.378252574044145,0.378711597542574,NA,"Both"
"1800",201501739890,2021-03-03 09:32:40,2021-03-03 09:50:24,2,1,1,1,2,2,NA,NA,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,3,NA,2,3,4,NA,2,1,1,NA,4,4,3,4,2,2,2,4,4,9,8,2,2,3,2,NA,3,2,1,2,1,2,1,2,1,1,2,2,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,50,0,1,3,NA,NA,4,3,1,2,NA,NA,2,4,2,1,3,4,3,3,4,NA,NA,NA,2,NA,3,1,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,9,NA,NA,NA,NA,4,NA,1,3,5,3,2,2,4,1,1,1,4,3,1,1,3,1,1,1,2,3,1,1,1,1,1,1,3,2,1,1.24734905822078,NA,1.05817292882842,"In-person only"
"1801",201501739938,2021-03-04 17:16:50,2021-03-04 17:28:02,2,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,4,NA,3,2,2,NA,3,3,3,NA,2,1,3,2,4,4,4,1,2,2,2,3,1,2,2,NA,3,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,10,85,2,2,NA,NA,2,1,1,3,NA,NA,2,3,1,2,3,1,1,2,3,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,NA,3,4,NA,1,1,1,1,1,2,2,2,1,9,1,2,NA,NA,NA,NA,3,4,1,2,3,3,2,1,5,2,NA,1,1,1,1,1,1,2,2,2,2,2,NA,2,3,5,1,3,1,1,2,0.272624252466633,0.28388267532967,0.528779004803737,"Online only"
"1802",201501786563,2021-03-03 07:45:24,2021-03-03 07:54:26,2,1,1,1,2,2,NA,NA,3,2,3,3,4,3,3,2,NA,NA,NA,NA,NA,4,NA,3,4,2,NA,3,3,1,NA,4,4,3,3,3,2,3,3,4,2,9,1,1,2,2,NA,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,1,1,0,25,3,1,NA,NA,2,2,2,1,NA,NA,2,3,2,2,2,3,2,2,2,NA,NA,NA,1,NA,3,1,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,2,2,NA,NA,NA,NA,2,4,1,4,8,2,1,1,6,2,NA,1,1,1,1,1,1,1,1,1,2,3,1,1,1,4,1,2,1,1,2,0.872929311946046,0.734532991549294,NA,"Both"
"1803",201501786595,2021-03-02 14:14:03,2021-03-02 14:27:03,2,1,1,1,2,1,NA,NA,1,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,5,NA,4,2,1,NA,4,4,2,NA,2,2,3,2,3,3,4,2,3,2,9,2,1,3,2,NA,2,1,2,2,1,4,2,NA,NA,NA,NA,NA,1,1,1,1,1,3,NA,NA,NA,NA,2,1,10,85,1,1,NA,NA,3,1,1,3,NA,NA,3,3,1,2,4,2,2,2,4,NA,NA,NA,2,NA,3,2,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,2,9,2,2,2,2,2,NA,NA,NA,NA,2,4,1,4,9,3,1,1,6,1,97,1,1,3,1,1,1,1,1,1,2,3,2,2,3,8,1,3,1,1,2,0.290936049002611,0.234770065184878,NA,"Neither"
"1804",201501786789,2021-03-02 18:42:45,2021-03-02 18:57:30,2,1,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,3,3,2,NA,3,3,3,NA,2,2,1,3,2,4,3,4,1,2,2,73,3,1,2,NA,2,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,100,NA,NA,1,1,4,1,1,NA,1,2,3,3,1,2,3,1,NA,NA,NA,2,1,3,NA,2,2,NA,1,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,1,3,4,NA,NA,NA,1,4,9,4,2,1,6,2,NA,1,1,1,1,1,1,1,2,1,4,2,NA,2,4,9,1,4,2,1,3,0.426799916244923,0.496456814093376,NA,"Neither"
"1805",201501787357,2021-03-07 21:00:58,2021-03-07 21:26:01,1,1,1,1,2,2,NA,NA,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,1,NA,3,4,3,NA,3,3,1,NA,4,4,3,2,3,2,2,4,4,2,1,99,1,2,99,NA,3,3,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,1,2,2,2,2,1,1,100,0,1,3,NA,NA,4,3,2,1,NA,NA,2,4,3,3,3,3,3,3,3,NA,NA,NA,1,NA,3,1,NA,99,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,2,9,9,2,1,NA,NA,NA,NA,1,4,2,4,8,3,2,2,3,2,NA,1,1,1,1,1,1,1,2,1,1,3,1,1,1,9,1,2,2,1,3,0.446215582943912,NA,0.885107783745337,"Both"
"1806",201501789389,2021-03-02 13:23:49,2021-03-02 13:38:34,2,1,1,1,2,2,NA,NA,4,3,4,4,3,4,4,4,NA,NA,NA,NA,NA,1,NA,2,4,3,NA,2,1,1,NA,4,4,1,3,3,2,2,3,4,2,9,3,3,4,1,NA,1,3,1,1,1,2,1,99,99,99,99,99,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,80,10,1,3,NA,NA,3,2,2,1,NA,NA,2,4,3,3,3,3,3,3,3,NA,NA,NA,1,NA,1,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,1,1,2,1,1,NA,NA,NA,NA,2,3,1,4,9,3,2,2,3,2,NA,1,1,1,1,1,5,1,1,1,1,1,NA,1,1,3,1,1,2,1,1,0.493098078224939,0.525426103976777,0.854131830162262,"Both"
"1807",201501790569,2021-03-02 16:41:52,2021-03-06 02:28:06,2,1,2,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,3,NA,1,3,4,NA,2,3,1,NA,4,4,4,1,2,3,2,2,3,4,71,72,1,3,2,NA,3,2,3,2,1,1,2,1,1,1,1,2,1,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,75,0,NA,NA,1,1,3,2,1,NA,2,1,2,3,2,2,2,2,NA,NA,NA,2,2,2,NA,1,1,NA,2,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,9,1,2,1,2,1,3,NA,NA,1,4,9,2,2,1,5,2,NA,1,1,1,1,1,3,1,1,1,1,1,NA,1,1,1,1,2,1,1,1,0.598684268197436,0.778428364643943,1.28744252191703,"Online only"
"1808",201501792219,2021-03-02 12:44:50,2021-03-04 13:32:14,1,1,2,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,1,3,NA,1,2,4,NA,2,2,1,NA,4,4,4,1,3,4,2,2,4,2,9,5,3,1,1,NA,3,1,3,1,2,1,2,1,1,1,1,1,2,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,75,0,NA,NA,1,2,2,2,2,NA,1,1,4,4,2,2,1,3,NA,NA,NA,1,3,1,NA,1,3,1,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2,9,2,9,2,1,1,2,2,9,9,NA,NA,1,1,2,3,1,2,3,2,NA,1,2,2,1,1,1,1,1,1,1,3,1,1,1,3,1,2,1,1,1,0.737724904839065,NA,NA,"In-person only"
"1809",201501793399,2021-03-07 05:10:45,2021-03-07 05:21:12,1,1,1,2,2,1,NA,NA,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,4,NA,3,2,3,NA,3,3,2,NA,2,2,3,2,3,3,3,2,2,9,9,3,1,2,3,NA,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,20,60,1,1,NA,NA,2,1,1,3,NA,NA,4,4,1,1,1,1,1,1,1,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,2,2,9,9,9,9,2,NA,NA,NA,NA,4,NA,1,4,9,4,2,2,4,2,NA,1,1,1,1,1,6,1,2,1,5,2,NA,2,4,6,1,4,2,1,2,0.578669944479932,0.594594478707387,NA,"Neither"
"1810",201501794199,2021-03-02 21:52:55,2021-03-02 22:23:04,2,1,1,1,2,1,NA,NA,1,1,2,2,2,1,3,3,NA,NA,NA,NA,NA,5,NA,3,3,1,NA,4,3,1,NA,2,2,3,2,4,3,4,1,3,2,9,3,1,2,2,NA,3,1,2,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,1,1,0,90,2,2,NA,NA,3,1,1,2,NA,NA,2,4,1,1,3,2,1,1,3,NA,NA,NA,2,NA,1,NA,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,NA,NA,NA,NA,2,1,1,4,9,3,2,1,6,2,NA,1,2,2,1,1,2,1,1,1,1,1,NA,1,2,9,1,3,1,1,2,0.413569467588161,NA,0.427934900168402,"Online only"
"1811",201501794286,2021-03-02 13:38:16,2021-03-02 13:51:47,2,1,1,1,1,2,NA,NA,4,3,4,4,4,4,4,4,NA,NA,NA,NA,NA,2,NA,2,4,4,NA,2,1,1,NA,4,4,3,4,3,2,2,4,4,2,9,1,2,2,3,NA,1,3,1,2,1,2,2,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,1,1,90,10,2,3,NA,NA,3,2,2,1,NA,NA,4,4,3,3,3,3,3,3,4,NA,NA,NA,1,NA,3,1,NA,3,4,NA,NA,NA,NA,NA,2,2,1,1,2,2,2,9,1,2,9,9,NA,NA,NA,NA,3,2,1,1,2,4,2,1,6,2,NA,1,1,1,1,1,1,2,2,2,3,3,1,1,1,9,1,2,1,1,3,0.529697993127157,0.668778361868023,1.01777284533282,"In-person only"
"1812",201501798171,2021-03-02 12:59:58,2021-03-02 13:20:40,2,1,1,1,2,2,NA,NA,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,1,NA,1,4,2,NA,1,2,1,NA,4,4,1,4,4,3,1,4,4,2,8,3,1,2,2,NA,3,3,1,1,1,2,1,1,1,3,2,2,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,100,0,2,3,NA,NA,3,3,2,1,NA,NA,1,1,3,3,2,3,2,2,3,NA,NA,NA,2,NA,1,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,1,1,NA,NA,NA,NA,3,2,1,4,9,4,2,3,1,2,NA,1,1,1,1,1,3,1,1,1,2,1,NA,1,1,1,1,2,4,2,1,3.38237896058703,2.85131424826039,1.36335262313034,"Both"
"1813",201701100752,2021-03-02 13:56:09,2021-03-02 15:28:15,2,1,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,4,4,2,NA,3,3,4,NA,2,1,1,3,1,4,2,4,1,2,2,9,3,1,2,NA,3,3,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,100,NA,NA,2,1,3,1,1,NA,1,2,3,3,1,2,2,1,NA,NA,NA,1,1,2,NA,2,2,NA,1,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,2,2,2,2,2,9,2,2,2,3,3,NA,NA,2,2,4,4,2,1,6,2,NA,1,1,1,1,1,1,1,2,1,2,2,NA,2,3,9,1,3,2,1,3,0.60687952956566,0.671621749586616,NA,"Both"
"1814",201701201656,2021-03-05 22:20:38,2021-03-05 22:35:19,1,1,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,NA,1,2,4,NA,2,1,1,NA,3,4,4,1,2,3,2,2,4,4,2,9,2,2,2,NA,3,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,100,0,NA,NA,1,2,3,3,2,NA,2,1,1,3,3,3,3,3,NA,NA,NA,3,2,1,NA,1,1,NA,1,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,9,1,9,1,1,2,1,2,4,NA,NA,1,3,5,4,2,2,3,2,NA,1,1,1,1,1,5,1,1,1,4,1,NA,1,1,5,1,1,2,2,2,1.07580503529597,1.09139386639531,1.42541878597565,"Neither"
"1815",201701201679,2021-03-05 16:42:00,2021-03-05 16:59:19,2,1,2,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,NA,1,1,4,NA,2,2,1,NA,1,3,3,3,3,4,2,3,3,4,2,8,1,2,3,NA,3,1,3,1,1,1,2,1,1,1,1,2,3,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,85,10,NA,NA,1,2,2,3,2,NA,2,1,2,3,3,3,2,4,NA,NA,NA,3,2,3,NA,1,1,NA,1,NA,NA,3,3,NA,NA,NA,2,1,1,1,2,1,1,2,1,2,1,1,2,1,2,4,NA,NA,1,3,7,4,1,2,3,2,NA,1,1,1,1,1,1,2,2,2,2,1,NA,1,1,5,1,2,5,2,2,1.5503862994598,NA,2.10381769592846,"Both"
"1816",201701201733,2021-03-04 19:30:57,2021-03-04 19:43:32,2,1,2,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,NA,3,2,2,NA,2,3,2,NA,3,2,1,3,1,4,3,4,2,3,2,1,3,1,2,NA,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,90,NA,NA,2,1,2,1,1,NA,1,2,3,3,1,2,3,1,NA,NA,NA,2,1,3,NA,2,3,2,NA,NA,NA,NA,NA,2,NA,2,1,1,1,1,1,2,9,2,9,2,2,2,1,2,3,9,NA,NA,1,4,9,4,2,1,5,2,NA,1,1,1,1,1,3,2,2,2,5,3,2,2,4,5,1,4,2,1,2,0.502793387089918,0.59147408018193,NA,"Neither"
"1817",201701201784,2021-03-05 19:20:48,2021-03-05 19:32:08,2,1,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,NA,1,2,4,NA,2,2,1,NA,4,4,4,3,8,8,8,2,4,4,9,9,2,4,NA,NA,2,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,100,0,NA,NA,1,3,4,2,2,NA,2,1,1,3,4,4,1,4,NA,NA,NA,4,4,3,NA,1,1,NA,1,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,1,2,1,2,3,3,NA,NA,NA,NA,1,2,3,3,2,3,1,2,NA,1,1,1,1,1,1,1,2,1,4,1,NA,1,2,1,1,3,1,2,1,0.614649465319144,0.636194777572614,0.277099204388785,"Neither"
"1818",201701201793,2021-03-02 15:59:09,2021-03-02 16:07:52,1,1,1,2,2,1,NA,NA,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,5,NA,3,1,1,NA,3,3,2,NA,2,1,3,2,3,2,3,1,2,2,9,3,1,1,3,NA,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,0,90,1,3,NA,NA,3,1,1,3,NA,NA,2,3,2,2,2,1,2,2,4,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,2,9,1,1,9,1,2,NA,NA,NA,NA,2,4,1,4,9,3,2,1,5,2,NA,1,1,1,1,1,1,1,2,1,5,2,NA,2,3,9,1,3,2,2,1,0.757071418258615,0.601014873394524,NA,"Online only"
"1819",201701201902,2021-03-06 10:04:12,2021-03-06 10:30:47,1,1,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,3,3,NA,1,2,3,NA,2,1,2,NA,4,4,3,3,3,3,2,2,3,3,2,2,3,3,3,NA,1,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,95,5,NA,NA,1,3,4,2,2,NA,2,1,4,4,2,2,2,2,NA,NA,NA,2,2,2,NA,1,1,NA,2,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,9,2,2,3,2,NA,NA,NA,1,2,3,4,2,3,2,2,NA,1,5,4,1,1,1,1,2,1,6,1,NA,1,1,2,1,2,3,2,2,0.813674662317187,NA,0.348657361549336,"Neither"
"1820",201701204112,2021-03-02 13:24:38,2021-03-03 10:21:46,1,1,2,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,NA,3,2,3,NA,2,2,2,NA,4,4,4,4,2,4,4,3,2,3,2,1,3,1,2,NA,2,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,35,65,NA,NA,1,2,3,2,2,NA,1,1,2,3,2,3,3,3,NA,NA,NA,3,3,3,NA,1,1,NA,2,NA,NA,2,2,NA,NA,NA,1,1,1,1,1,2,2,2,1,2,1,2,3,3,NA,NA,NA,NA,1,3,6,4,1,3,2,2,NA,1,1,1,1,1,1,2,2,2,4,1,NA,1,1,9,1,2,4,1,3,1.22668178369848,1.1405002212166,0.59405957716512,"Neither"
"1821",201701204395,2021-03-02 21:07:03,2021-03-02 21:29:39,2,1,1,1,1,2,NA,NA,2,2,3,2,4,3,3,3,NA,NA,NA,NA,NA,5,NA,4,3,1,NA,3,3,1,NA,4,3,3,2,4,3,3,2,3,2,9,2,1,2,2,NA,2,1,1,2,1,2,2,1,2,1,2,2,1,1,1,1,2,3,2,2,2,2,1,1,0,20,1,3,NA,NA,3,1,2,1,NA,NA,2,3,2,2,2,2,2,2,3,NA,NA,NA,1,NA,3,1,NA,1,4,NA,NA,NA,NA,NA,1,1,1,1,1,2,9,2,2,2,2,9,NA,NA,NA,NA,2,4,1,4,9,3,1,1,5,2,NA,1,1,1,1,1,1,2,2,2,2,3,1,1,1,9,2,2,2,2,2,2.95584344665082,2.35948117337404,1.44365591610842,"In-person only"
"1822",201701204645,2021-03-02 13:09:09,2021-03-02 13:34:06,1,1,2,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,3,NA,1,2,3,NA,2,2,2,NA,3,3,2,3,2,2,2,3,2,3,2,9,3,2,2,NA,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,80,55,NA,NA,2,3,2,1,2,NA,2,2,2,3,3,3,4,2,NA,NA,NA,2,3,3,NA,1,1,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,9,2,1,2,2,3,2,NA,NA,NA,2,2,4,4,1,3,2,2,NA,1,1,1,1,1,5,1,2,1,4,1,NA,1,1,1,1,2,2,2,2,1.02147019052309,1.16518665090714,0.505235945761086,"Neither"
"1823",201701206619,2021-03-03 09:12:24,2021-03-03 09:37:33,1,1,2,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,4,NA,1,2,4,NA,2,2,1,NA,4,4,4,3,2,4,2,2,2,3,2,9,3,1,3,NA,2,2,2,2,1,1,2,1,1,1,1,2,3,NA,NA,NA,NA,NA,2,2,2,2,2,2,1,75,40,NA,NA,1,1,3,2,2,NA,2,1,3,2,2,2,2,2,NA,NA,NA,1,2,2,NA,99,1,NA,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,1,2,1,2,3,2,NA,NA,NA,1,1,2,4,2,1,5,2,NA,1,1,1,1,1,5,1,2,1,3,1,NA,1,1,8,1,2,3,1,3,0.744137718750399,0.679142186416539,NA,"Online only"
"1824",201701206738,2021-03-02 13:30:48,2021-03-02 14:52:42,2,1,1,1,2,2,NA,NA,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,1,NA,2,4,4,NA,2,2,1,NA,4,4,3,3,2,2,3,3,4,2,9,1,1,3,3,NA,1,3,1,2,1,2,1,1,2,2,2,2,NA,NA,NA,NA,NA,2,2,2,2,1,1,1,90,20,2,3,NA,NA,3,3,2,1,NA,NA,2,3,2,2,2,3,2,2,2,NA,NA,NA,1,NA,1,NA,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,2,2,NA,NA,NA,NA,3,3,1,3,5,3,2,2,4,2,NA,1,4,4,1,1,1,1,1,1,1,1,NA,1,1,9,1,2,2,1,3,0.191919580033169,NA,NA,"In-person only"
"1825",201701208231,2021-03-03 21:52:09,2021-03-03 22:15:23,2,1,2,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,3,4,2,NA,3,3,4,NA,2,2,1,3,2,3,3,4,1,2,2,1,3,1,2,NA,3,3,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,2,3,2,2,2,2,2,1,10,85,NA,NA,2,1,3,1,1,NA,1,2,2,3,2,1,3,1,NA,NA,NA,1,1,3,NA,2,2,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,4,9,NA,NA,1,2,4,4,1,1,6,2,NA,1,1,1,1,1,1,1,2,1,2,2,NA,2,4,9,1,4,2,1,3,0.173329979028694,0.205075963454883,0.308930543610125,"Online only"
"1826",201701209591,2021-03-04 21:49:08,2021-03-04 22:15:19,1,2,1,1,2,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,5,NA,3,2,3,NA,2,2,2,NA,2,1,1,2,2,8,4,2,2,2,9,3,1,1,3,NA,3,1,1,1,1,2,2,1,1,1,2,3,1,1,99,2,1,1,2,2,2,2,1,1,0,90,1,3,NA,NA,3,1,1,3,NA,NA,2,2,1,2,4,2,1,2,2,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,1,1,9,9,9,1,2,NA,NA,NA,NA,4,NA,1,4,8,3,2,2,3,1,1,4,1,3,1,5,1,1,1,1,1,2,NA,2,3,1,1,3,2,2,1,0.627056390069253,0.535151998886675,NA,"Both"
"1827",201701210590,2021-03-03 00:24:31,2021-03-03 00:32:18,2,1,1,2,2,2,NA,NA,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,1,NA,2,4,3,NA,2,1,1,NA,4,4,3,4,3,2,2,3,4,2,8,2,2,3,1,NA,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,100,0,1,3,NA,NA,4,2,2,1,NA,NA,3,4,4,4,1,4,3,4,1,NA,NA,NA,2,NA,3,1,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,3,2,1,4,9,3,1,1,5,2,NA,1,1,1,1,1,6,1,1,1,5,3,1,1,1,2,1,2,1,2,1,0.466022049273756,0.391605149238138,0.446336108245853,"Online only"
